feature,median_importance,q1,q3,iqr
i2_health,0.1670928338345914,0.16551614642654575,0.1679742564986742,0.0024581100721284554
r1_1,0.10617218177842189,0.10570054391252268,0.10699255220523268,0.0012920082927100063
age,0.0805334775398516,0.08011013419536175,0.08095707197959653,0.0008469377842347803
week_number,0.07987036174174796,0.07939983287831087,0.08021941391550334,0.0008195810371924711
r1_2,0.05080807295962138,0.05020978036171665,0.05118203337093204,0.0009722530092153847
cantril_ladder,0.049421481355499286,0.0490731837547731,0.0496969829173519,0.0006237991625788059
household_size,0.03996826458996648,0.039709055459658874,0.04016915552147503,0.00046010006181615437
state_New South Wales,0.03477891662960386,0.03421923974773955,0.03530244279054383,0.0010832030428042788
i9_health_Yes,0.019077573816240742,0.01872556244248504,0.019477827105949287,0.0007522646634642478
i11_health_Very willing,0.01901427750012726,0.018680304975901847,0.019292414501847297,0.00061210952594545
gender_Male,0.016455741827973734,0.01629782475407295,0.016681400730607625,0.0003835759765346766
i9_health_Not sure,0.014323500284140703,0.01385808357037115,0.014702552524291621,0.0008444689539204714
employment_status_Part time employment,0.013833864981829615,0.01365894083721181,0.014011884312516683,0.00035294347530487324
WCRex2_A lot of confidence,0.013774111802584973,0.013604504130152583,0.013943487301925933,0.00033898317177335005
WCRex1_Somewhat well,0.013278072153970553,0.013117209285494747,0.013382502601821694,0.00026529331632694705
state_Western Australia,0.012021423491094394,0.011785653573024696,0.012420815323687329,0.0006351617506626332
d1_comorbidities_No,0.011832893382490191,0.011680920826757374,0.011916371918866346,0.0002354510921089726
WCRex1_Very well,0.011580605544573892,0.011494234138313362,0.01174937754919359,0.0002551434108802285
d1_comorbidities_Yes,0.011543766400282006,0.011439840596307609,0.011681262537265567,0.00024142194095795773
PHQ4_3_Several days,0.010717526894107366,0.010627997049748638,0.010830029082261175,0.00020203203251253736
PHQ4_1_Several days,0.010554559292847175,0.010453374513899001,0.010686896368497081,0.00023352185459808023
PHQ4_4_Not at all,0.010484267314278196,0.010312043585061863,0.010636180506606528,0.0003241369215446644
PHQ4_1_Not at all,0.010282197229818707,0.010123038869204622,0.010385166769832536,0.0002621279006279134
PHQ4_3_Not at all,0.009889766964056688,0.009780366159181157,0.010044798988837169,0.0002644328296560125
PHQ4_4_Several days,0.009862311304070163,0.009683750909932724,0.010013581688036715,0.00032983077810399067
PHQ4_2_Not at all,0.009832150853523635,0.009702783278463054,0.009966874179828791,0.00026409090136573707
PHQ4_2_Several days,0.00978219297517149,0.009636017618633197,0.009846243523823265,0.00021022590519006838
i11_health_Somewhat willing,0.009728793285225957,0.009575117361782005,0.00982704185638054,0.0002519244945985346
state_Queensland,0.009318451576668411,0.009204501633413124,0.009481293094888456,0.0002767914614753321
employment_status_Retired,0.009254001391981265,0.009169803945599467,0.009395345175476591,0.00022554122987712352
state_South Australia,0.009205385135453405,0.009009024810092066,0.00940339277138828,0.00039436796129621414
employment_status_Unemployed,0.009045812897631388,0.00889419907905876,0.009165867233633305,0.0002716681545745451
WCRex2_Not very much confidence,0.008835208371066654,0.008669548165218345,0.008974167026199015,0.00030461886098067
WCRex1_Somewhat badly,0.008494293823739625,0.008328168647771509,0.008598677225333532,0.0002705085775620234
employment_status_Not working,0.008298867949987302,0.008216395739869873,0.008517253172242277,0.00030085743237240337
PHQ4_1_Nearly every day,0.007779268158991151,0.007648067203932388,0.007859380622319612,0.0002113134183872236
PHQ4_4_Nearly every day,0.007336804440012435,0.007180643855872677,0.007459499247798568,0.0002788553919258908
state_Victoria,0.007085067814702827,0.006846933552944412,0.007337546029071473,0.000490612476127061
PHQ4_3_Nearly every day,0.006424008348627276,0.00630685588768285,0.00656274740889682,0.00025589152121396983
WCRex1_Very badly,0.006260952324621257,0.006116010538917558,0.0063451143403593585,0.00022910380144180054
state_Tasmania,0.0055605360134682764,0.005368554914693561,0.005718920906345618,0.0003503659916520574
PHQ4_2_Nearly every day,0.005515414710308756,0.005419478495802797,0.005598210580085303,0.00017873208428250548
i11_health_Somewhat unwilling,0.003669078712722422,0.0034858896029447387,0.0038515380263702275,0.0003656484234254888
WCRex2_Don't know,0.003423064178391205,0.003246605592914968,0.0035333565866926967,0.0002867509937777286
i11_health_Very unwilling,0.0032505606595925403,0.0031457041184564795,0.003409081200712414,0.00026337708225593467
WCRex2_No confidence at all,0.0031907661112027122,0.003118030698153409,0.00327353110747781,0.00015550040932440102
PHQ4_3_N/A,0.002987344206798333,0.002891022769562618,0.0030308339393907684,0.00013981116982815034
PHQ4_2_N/A,0.002971776757398518,0.002882945577429148,0.003058667792459158,0.00017572221503000997
PHQ4_1_N/A,0.002970792500206945,0.0028687505081446754,0.0030532912314988527,0.0001845407233541773
PHQ4_4_N/A,0.0029013656469904126,0.002829578324502102,0.00298904905859273,0.00015947073409062823
state_Northern Territory,0.0023448611831593793,0.00223064726127147,0.002447969328420094,0.00021732206714862416
i11_health_Not sure,0.002030376650987228,0.0019539213432401585,0.0021842546677059696,0.0002303333244658111
d1_comorbidities_Prefer_not_to_say,0.0016946034891563888,0.001619743112506536,0.0017723825414190813,0.00015263942891254522
PHQ4_2_Prefer not to say,0.001184848820477145,0.0011366051519574225,0.0012442415172700797,0.00010763636531265722
PHQ4_4_Prefer not to say,0.0011072478705957708,0.0010405072160737346,0.001197634545231919,0.0001571273291581844
PHQ4_3_Prefer not to say,0.0008609026011752173,0.0008222335945024008,0.0009356958445416515,0.00011346225003925074
PHQ4_1_Prefer not to say,0.0007678599667856159,0.0007325923272631281,0.0008207423941551972,8.815006689206909e-05
