_vname_,_label_,_x_,_yhat_,_ids_
i2_health,model_2a_xgboost_explainer,0.0,0.6627556,0
i2_health,model_2a_xgboost_explainer,10.0,0.41825643,0
i2_health,model_2a_xgboost_explainer,20.0,0.36118492,0
i2_health,model_2a_xgboost_explainer,30.0,0.3561234,0
i2_health,model_2a_xgboost_explainer,40.0,0.35365045,0
i2_health,model_2a_xgboost_explainer,50.0,0.34032026,0
i2_health,model_2a_xgboost_explainer,60.0,0.3471285,0
i2_health,model_2a_xgboost_explainer,70.0,0.32633245,0
i2_health,model_2a_xgboost_explainer,80.0,0.321713,0
i2_health,model_2a_xgboost_explainer,90.0,0.3214159,0
i2_health,model_2a_xgboost_explainer,100.0,0.31603,0
i2_health,model_2a_xgboost_explainer,110.0,0.3125901,0
i2_health,model_2a_xgboost_explainer,120.0,0.31476596,0
i2_health,model_2a_xgboost_explainer,130.0,0.30947,0
i2_health,model_2a_xgboost_explainer,140.0,0.30184084,0
i2_health,model_2a_xgboost_explainer,150.0,0.30184084,0
i2_health,model_2a_xgboost_explainer,160.0,0.30184084,0
i2_health,model_2a_xgboost_explainer,170.0,0.30184084,0
i2_health,model_2a_xgboost_explainer,180.0,0.30184084,0
i2_health,model_2a_xgboost_explainer,190.0,0.30184084,0
i2_health,model_2a_xgboost_explainer,200.0,0.28712538,0
i2_health,model_2a_xgboost_explainer,210.0,0.28712538,0
i2_health,model_2a_xgboost_explainer,220.0,0.28712538,0
i2_health,model_2a_xgboost_explainer,230.0,0.28712538,0
i2_health,model_2a_xgboost_explainer,240.0,0.28712538,0
i2_health,model_2a_xgboost_explainer,250.0,0.28729883,0
i2_health,model_2a_xgboost_explainer,260.0,0.28729883,0
i2_health,model_2a_xgboost_explainer,270.0,0.28729883,0
i2_health,model_2a_xgboost_explainer,280.0,0.28729883,0
i2_health,model_2a_xgboost_explainer,290.0,0.28729883,0
i2_health,model_2a_xgboost_explainer,300.0,0.29307774,0
i2_health,model_2a_xgboost_explainer,310.0,0.29307774,0
i2_health,model_2a_xgboost_explainer,320.0,0.29307774,0
i2_health,model_2a_xgboost_explainer,330.0,0.29307774,0
i2_health,model_2a_xgboost_explainer,340.0,0.29307774,0
i2_health,model_2a_xgboost_explainer,350.0,0.29307774,0
i2_health,model_2a_xgboost_explainer,360.0,0.29307774,0
i2_health,model_2a_xgboost_explainer,370.0,0.29307774,0
