_vname_,_label_,_x_,_yhat_,_ids_
i2_health,model_2b_rf_explainer,870.0,0.5448115158296348,0
i2_health,model_2b_rf_explainer,880.0,0.5449364047185238,0
i2_health,model_2b_rf_explainer,890.0,0.5449364047185238,0
i2_health,model_2b_rf_explainer,900.0,0.5449364047185238,0
i2_health,model_2b_rf_explainer,910.0,0.5446941824963015,0
i2_health,model_2b_rf_explainer,920.0,0.5446941824963015,0
i2_health,model_2b_rf_explainer,930.0,0.5449406072377265,0
i2_health,model_2b_rf_explainer,940.0,0.5449406072377265,0
i2_health,model_2b_rf_explainer,950.0,0.5449406072377265,0
i2_health,model_2b_rf_explainer,960.0,0.5447317183488376,0
i2_health,model_2b_rf_explainer,970.0,0.5447317183488376,0
i2_health,model_2b_rf_explainer,980.0,0.5447317183488376,0
i2_health,model_2b_rf_explainer,990.0,0.5447317183488376,0
i2_health,model_2b_rf_explainer,1000.0,0.5447016323273323,0
week_number,model_2b_rf_explainer,3.0,0.7012306273227724,0
week_number,model_2b_rf_explainer,3.41,0.7012306273227724,0
week_number,model_2b_rf_explainer,3.82,0.7178174931631031,0
week_number,model_2b_rf_explainer,4.23,0.7182229150511565,0
week_number,model_2b_rf_explainer,4.64,0.7215078325370122,0
week_number,model_2b_rf_explainer,5.05,0.721675781254961,0
week_number,model_2b_rf_explainer,5.46,0.721675781254961,0
week_number,model_2b_rf_explainer,5.869999999999999,0.718430315525591,0
week_number,model_2b_rf_explainer,6.279999999999999,0.7183896357870289,0
week_number,model_2b_rf_explainer,6.6899999999999995,0.7180449144195075,0
week_number,model_2b_rf_explainer,7.1,0.7153320514537435,0
week_number,model_2b_rf_explainer,7.51,0.7150161137278608,0
week_number,model_2b_rf_explainer,7.92,0.7150161137278608,0
week_number,model_2b_rf_explainer,8.33,0.7148633484814113,0
week_number,model_2b_rf_explainer,8.739999999999998,0.7125746021390649,0
week_number,model_2b_rf_explainer,9.149999999999999,0.7125604153977015,0
week_number,model_2b_rf_explainer,9.559999999999999,0.7112498600157949,0
week_number,model_2b_rf_explainer,9.969999999999999,0.7112498600157949,0
week_number,model_2b_rf_explainer,10.379999999999999,0.7108703419782768,0
week_number,model_2b_rf_explainer,10.79,0.7056442114166283,0
week_number,model_2b_rf_explainer,11.2,0.7052831864880347,0
week_number,model_2b_rf_explainer,11.61,0.7044882613077162,0
week_number,model_2b_rf_explainer,12.02,0.6419597774092293,0
week_number,model_2b_rf_explainer,12.43,0.6419597774092293,0
week_number,model_2b_rf_explainer,12.84,0.6414084624332324,0
week_number,model_2b_rf_explainer,13.25,0.6410424422312121,0
week_number,model_2b_rf_explainer,13.66,0.6401168734308029,0
week_number,model_2b_rf_explainer,14.069999999999999,0.6398586052175348,0
week_number,model_2b_rf_explainer,14.479999999999999,0.6398586052175348,0
week_number,model_2b_rf_explainer,14.889999999999999,0.6348158799999025,0
week_number,model_2b_rf_explainer,15.299999999999999,0.6346484109907885,0
week_number,model_2b_rf_explainer,15.709999999999999,0.6234240994033028,0
week_number,model_2b_rf_explainer,16.119999999999997,0.6228012825258195,0
week_number,model_2b_rf_explainer,16.53,0.617223213534251,0
