feature,importance
state_New South Wales,0.12444535
protective_behaviour_nomask_scale,0.10483431
state_Tasmania,0.022712437
r1_1,0.02238802
week_number,0.020223653
age,0.019600041
r1_2,0.017697444
i9_health_Yes,0.017523061
i11_health_Very willing,0.017179333
PHQ4_4_Not at all,0.016534623
PHQ4_3_N/A,0.016480044
employment_status_Not working,0.015865944
state_Western Australia,0.01566936
WCRex2_A lot of confidence,0.015281118
employment_status_Retired,0.014841912
PHQ4_4_Prefer not to say,0.014797646
PHQ4_3_Several days,0.014531523
state_Victoria,0.014521539
d1_comorbidities_Yes,0.0142985545
PHQ4_2_N/A,0.014247696
i2_health,0.013970567
WCRex1_Very well,0.013965595
state_Queensland,0.013878231
state_South Australia,0.013862924
PHQ4_1_Several days,0.013827099
WCRex1_Somewhat badly,0.013784692
cantril_ladder,0.01375662
employment_status_Part time employment,0.0137521615
gender_Male,0.013336027
i11_health_Somewhat unwilling,0.013184977
PHQ4_3_Nearly every day,0.013148179
WCRex2_Not very much confidence,0.013140582
PHQ4_2_Not at all,0.012752527
d1_comorbidities_Prefer_not_to_say,0.012744471
PHQ4_2_Several days,0.0127365915
PHQ4_4_Nearly every day,0.012628683
i9_health_Not sure,0.012599729
employment_status_Unemployed,0.012579445
PHQ4_1_N/A,0.012446711
PHQ4_1_Not at all,0.0123685235
PHQ4_3_Not at all,0.012348433
state_Northern Territory,0.012284073
i11_health_Somewhat willing,0.012211457
WCRex2_Don't know,0.012094544
i11_health_Not sure,0.012045039
household_size,0.012030112
d1_comorbidities_No,0.011803491
PHQ4_2_Nearly every day,0.011684608
PHQ4_4_Several days,0.011530844
PHQ4_3_Prefer not to say,0.011183883
WCRex1_Very badly,0.011172153
WCRex1_Somewhat well,0.010855224
PHQ4_1_Prefer not to say,0.010755178
WCRex2_No confidence at all,0.010437774
PHQ4_2_Prefer not to say,0.010208983
i11_health_Very unwilling,0.009253748
PHQ4_1_Nearly every day,0.009123249
PHQ4_4_N/A,0.0
