model,recall_mean,recall_sd,roc_auc_mean,roc_auc_sd,accuracy_mean,accuracy_sd,precision_mean,precision_sd,f1_mean,f1_sd
model_1,0.8188098693759072,0.005964442940893352,0.8718294929729765,0.0017380818668628435,0.7938959825599502,0.0027715472390267056,0.8013346465279755,0.003287088278232975,0.8099638261720067,0.0029075985564205073
model_1a,0.7745098039215685,0.023452124337266875,0.8237923184254976,0.009100847926210203,0.7277591973244147,0.0030348982295788727,0.48011491179850874,0.0038486590368340024,0.5926947774997031,0.008958793298886379
model_1b,0.783551006000706,0.00487448537831392,0.83693289262549,0.004815416470413531,0.7701810965021088,0.0043203945245447765,0.8763515620310033,0.0027218217927145374,0.8273526420717596,0.00353144447734354
model_2,0.8623831215535842,0.0075034679235333555,0.7747961027683586,0.005439020935159328,0.7261289317969479,0.005670667857942177,0.7522359817521135,0.003897072136153561,0.8035400136324666,0.004398856830045544
model_2a,0.6911251980982567,0.008848585911343042,0.7288679298206248,0.009787987830084596,0.6663043478260869,0.011492474156001985,0.6811525129742538,0.01191112117057706,0.6860890475235097,0.009955972067959175
model_2b,0.7335166723960124,0.006446774255145475,0.7805602993721005,0.007309378955256033,0.7201686926321011,0.004864468258776398,0.858151792748249,0.005193185008232861,0.7909333413992742,0.003978893114274654
