feature,importance
protective_behaviour_nomask_scale,0.214154443884473
week_number,0.19889596252027086
state_Queensland,0.0825568557319559
state_Western Australia,0.07627736480697953
age,0.0651686841809404
i2_health,0.04413478179772413
r1_2,0.030853783750651946
r1_1,0.03055935897159811
cantril_ladder,0.03008381265461616
household_size,0.027912930612957382
i11_health_Very willing,0.025173956071574053
state_Tasmania,0.014115669549024816
i9_health_Yes,0.009685164245727289
gender_Male,0.0094158572381387
WCRex1_Somewhat well,0.006899747225643583
WCRex2_A lot of confidence,0.00623800156797075
WCRex1_Very well,0.005512171272592521
WCRex1_Very badly,0.0054493794549878285
employment_status_Part time employment,0.005416847519004219
WCRex1_Somewhat badly,0.005269535169042192
WCRex2_Not very much confidence,0.005221788753530791
d1_comorbidities_Yes,0.00499682321958581
employment_status_Not working,0.0049264729443274655
i11_health_Somewhat willing,0.004906742484561431
PHQ4_1_Several days,0.004638583013699122
PHQ4_2_Several days,0.0046351349256625925
i9_health_Not sure,0.004622237160622758
PHQ4_1_Not at all,0.004495270780557209
d1_comorbidities_No,0.004427379920511579
employment_status_Retired,0.004330467050092805
PHQ4_4_Not at all,0.004288394086980783
PHQ4_4_Several days,0.004274873409978288
PHQ4_2_Not at all,0.0042659932601633865
PHQ4_3_Several days,0.00424934619002372
employment_status_Unemployed,0.003928703797964762
PHQ4_3_Not at all,0.003891744196031457
WCRex2_No confidence at all,0.0037600155122998165
state_Victoria,0.0030642574485085713
PHQ4_3_Nearly every day,0.0028466355248445456
PHQ4_1_Nearly every day,0.0027604323775770193
PHQ4_2_Nearly every day,0.0027280580041996174
PHQ4_4_Nearly every day,0.002638657834920587
state_New South Wales,0.0022038721183132663
state_South Australia,0.001890489647081957
WCRex2_Don't know,0.0016462397467286174
i11_health_Somewhat unwilling,0.0013188504426310677
state_Northern Territory,0.0011892382414404063
i11_health_Very unwilling,0.0010347089443572641
PHQ4_2_N/A,0.0009662572933731837
PHQ4_3_N/A,0.000917663177097659
PHQ4_4_N/A,0.0008118337725803266
PHQ4_1_N/A,0.0007898043302664587
d1_comorbidities_Prefer_not_to_say,0.0007103386572169734
i11_health_Not sure,0.000552661570561074
PHQ4_4_Prefer not to say,0.0003770181823922211
PHQ4_3_Prefer not to say,0.000277556187126
PHQ4_1_Prefer not to say,0.00022103628635559806
PHQ4_2_Prefer not to say,0.0001371296873497278
