feature,importance
within_mandate_period,0.2241322560880424
week_number,0.14206802173456934
protective_behaviour_nomask_scale,0.13150597798185598
age,0.06681623366824144
i2_health,0.04150466576607961
state_Western Australia,0.03856137377034101
state_Queensland,0.03510003516862627
cantril_ladder,0.0325786221876388
r1_2,0.03170825870200115
r1_1,0.0315354531441015
household_size,0.02572921195159539
state_New South Wales,0.02319924696257707
i11_health_Very willing,0.012579673284925336
i9_health_Yes,0.008703303428592593
gender_Male,0.008511708948633364
WCRex2_A lot of confidence,0.006788955163576312
employment_status_Part time employment,0.006218197277896927
state_Victoria,0.00603699900193945
WCRex1_Somewhat well,0.0060253431534063135
state_Tasmania,0.00570728002579438
d1_comorbidities_Yes,0.005440683253764096
WCRex1_Very well,0.005321888731874012
employment_status_Not working,0.005003732108465159
i11_health_Somewhat willing,0.004961988661120908
PHQ4_3_Several days,0.004942685119007235
PHQ4_4_Several days,0.004890663903960518
WCRex2_Not very much confidence,0.00484546767327513
PHQ4_2_Several days,0.004753540180104893
WCRex1_Somewhat badly,0.004692199861309238
PHQ4_1_Several days,0.004643618910745129
PHQ4_1_Not at all,0.00446543256184022
WCRex1_Very badly,0.004438190875870249
PHQ4_2_Not at all,0.004398177121601153
employment_status_Unemployed,0.004393956470901158
d1_comorbidities_No,0.004180080886374387
i9_health_Not sure,0.003946259099223095
PHQ4_4_Not at all,0.003921487653425012
PHQ4_3_Not at all,0.0037672859590813365
employment_status_Retired,0.0030606754654288752
PHQ4_1_Nearly every day,0.003020442397684637
WCRex2_No confidence at all,0.0030015941383823423
PHQ4_2_Nearly every day,0.002794616383241799
PHQ4_3_Nearly every day,0.0027603299290927057
PHQ4_4_Nearly every day,0.0026759625606451844
state_South Australia,0.002079111372685057
WCRex2_Don't know,0.001585032935876702
i11_health_Somewhat unwilling,0.0012581517415189518
i11_health_Very unwilling,0.0012006607381221661
PHQ4_3_N/A,0.0011682450867977058
PHQ4_1_N/A,0.0011666500639634105
PHQ4_2_N/A,0.0010629872821524035
PHQ4_4_N/A,0.001023707929720233
d1_comorbidities_Prefer_not_to_say,0.0009337629415513097
i11_health_Not sure,0.0007845117704165486
state_Northern Territory,0.0007314621877574383
PHQ4_4_Prefer not to say,0.0006239659757366726
PHQ4_2_Prefer not to say,0.00039130024466391394
PHQ4_3_Prefer not to say,0.000362687633529967
PHQ4_1_Prefer not to say,0.0002959847786546084
