feature,importance
state_Victoria,0.06607332
i11_health_Very willing,0.06266087
within_mandate_period,0.058004383
state_Western Australia,0.054106783
r1_1,0.047141843
i2_health,0.043724753
state_New South Wales,0.04261636
i9_health_Yes,0.03187658
state_Queensland,0.030471401
week_number,0.029262418
i9_health_Not sure,0.027713168
i11_health_Somewhat willing,0.02393655
state_Tasmania,0.023710772
PHQ4_3_N/A,0.019469775
i11_health_Not sure,0.01568776
PHQ4_1_Nearly every day,0.015108917
WCRex2_A lot of confidence,0.014225673
PHQ4_2_N/A,0.013535118
i11_health_Very unwilling,0.012593903
r1_2,0.012175802
cantril_ladder,0.011847417
WCRex1_Very well,0.011366385
PHQ4_4_Nearly every day,0.011174808
employment_status_Part time employment,0.010965801
PHQ4_2_Prefer not to say,0.010962306
gender_Male,0.01093655
employment_status_Not working,0.010930125
state_South Australia,0.010886879
age,0.010622243
WCRex2_Don't know,0.010432277
PHQ4_4_Not at all,0.010361026
WCRex1_Very badly,0.010293426
PHQ4_3_Nearly every day,0.010266545
d1_comorbidities_No,0.010220906
PHQ4_2_Not at all,0.010186836
household_size,0.009767129
PHQ4_2_Nearly every day,0.009606683
WCRex2_No confidence at all,0.009603926
d1_comorbidities_Yes,0.009521168
employment_status_Unemployed,0.009404603
PHQ4_1_Not at all,0.009371757
employment_status_Retired,0.009119574
PHQ4_3_Several days,0.009063025
WCRex1_Somewhat badly,0.009052357
PHQ4_3_Prefer not to say,0.009035477
PHQ4_3_Not at all,0.00882119
WCRex2_Not very much confidence,0.008772635
WCRex1_Somewhat well,0.008554543
PHQ4_4_Several days,0.008467262
PHQ4_4_Prefer not to say,0.008195526
PHQ4_4_N/A,0.008102531
i11_health_Somewhat unwilling,0.00790364
d1_comorbidities_Prefer_not_to_say,0.007881787
state_Northern Territory,0.0076486366
PHQ4_1_Several days,0.007230203
PHQ4_2_Several days,0.0071714753
PHQ4_1_Prefer not to say,0.006229946
PHQ4_1_N/A,0.0059252074
