_vname_,_label_,_x_,_yhat_,_ids_
state_Western Australia,model_2b_xgboost_explainer,0.0,0.48817897,0
state_Western Australia,model_2b_xgboost_explainer,0.01,0.48817897,0
state_Western Australia,model_2b_xgboost_explainer,0.02,0.48817897,0
state_Western Australia,model_2b_xgboost_explainer,0.03,0.48817897,0
state_Western Australia,model_2b_xgboost_explainer,0.04,0.48817897,0
state_Western Australia,model_2b_xgboost_explainer,0.05,0.48817897,0
state_Western Australia,model_2b_xgboost_explainer,0.06,0.48817897,0
state_Western Australia,model_2b_xgboost_explainer,0.07,0.48817897,0
state_Western Australia,model_2b_xgboost_explainer,0.08,0.48817897,0
state_Western Australia,model_2b_xgboost_explainer,0.09,0.48817897,0
state_Western Australia,model_2b_xgboost_explainer,0.1,0.48817897,0
state_Western Australia,model_2b_xgboost_explainer,0.11,0.48817897,0
state_Western Australia,model_2b_xgboost_explainer,0.12,0.48817897,0
state_Western Australia,model_2b_xgboost_explainer,0.13,0.48817897,0
state_Western Australia,model_2b_xgboost_explainer,0.14,0.48817897,0
state_Western Australia,model_2b_xgboost_explainer,0.15,0.48817897,0
state_Western Australia,model_2b_xgboost_explainer,0.16,0.48817897,0
state_Western Australia,model_2b_xgboost_explainer,0.17,0.48817897,0
state_Western Australia,model_2b_xgboost_explainer,0.18,0.48817897,0
state_Western Australia,model_2b_xgboost_explainer,0.19,0.48817897,0
state_Western Australia,model_2b_xgboost_explainer,0.2,0.48817897,0
state_Western Australia,model_2b_xgboost_explainer,0.21,0.48817897,0
state_Western Australia,model_2b_xgboost_explainer,0.22,0.48817897,0
state_Western Australia,model_2b_xgboost_explainer,0.23,0.48817897,0
state_Western Australia,model_2b_xgboost_explainer,0.24,0.48817897,0
state_Western Australia,model_2b_xgboost_explainer,0.25,0.48817897,0
state_Western Australia,model_2b_xgboost_explainer,0.26,0.48817897,0
state_Western Australia,model_2b_xgboost_explainer,0.27,0.48817897,0
state_Western Australia,model_2b_xgboost_explainer,0.28,0.48817897,0
