model_number,model_type,precision,precision_std,recall,recall_std,roc_auc,roc_auc_std,accuracy,accuracy_std,f1,f1_std
model_1a,logistic_reg,0.4800284238230229,0.0021505120150282636,0.7774509803921568,0.011455635189650534,0.8243300653594773,0.003559361096121178,0.7275919732441473,0.0017799744602990122,0.5934238494262702,0.004122832233423121
model_1a,binary_tree,0.645523773839177,0.00777027305333116,0.47320261437908495,0.02222510554151151,0.8181562568847763,0.0017897755134077273,0.7981605351170569,0.0016444173603932437,0.5438541779106953,0.013331204679515382
model_1a,xgboost,0.5624582730093317,0.002283178385814713,0.7444444444444445,0.0077279117667228454,0.8626613791584049,0.0011993898823280675,0.7864548494983278,0.0016401605130754752,0.6407141582340323,0.0038302375564062394
model_1a,rf,0.7791581871271536,0.010240071179362065,0.4212418300653595,0.006509751423784956,0.8578570904017038,0.0024254401546291394,0.8213210702341136,0.0026056924656565165,0.5467032514353292,0.007002823206358182
