model_number,model_type,precision,precision_std,recall,recall_std,roc_auc,roc_auc_std,accuracy,accuracy_std,f1,f1_std
model_2b,logistic_reg,0.858151792748249,0.0020772740032931445,0.7335166723960124,0.00257870970205819,0.7805602993721005,0.002923751582102413,0.7201686926321011,0.0019457873035105594,0.7909333413992742,0.0015915572457098615
model_2b,binary_tree,0.8126437112700842,0.0012633469361701334,0.8968717772430388,0.0051182269014602285,0.7996993778604601,0.0017497278326356893,0.7763334160258,0.0026520854826244606,0.8526386160251643,0.0021607151273531416
model_2b,xgboost,0.8887505428306668,0.0014145633436008034,0.7720866277071159,0.0023152228587807132,0.8460221489764692,0.0017493122330555764,0.7657653187794591,0.0013881698448316218,0.8263052887443617,0.0012088099411499647
model_2b,rf,0.8058965310498317,0.0013540288065578456,0.9373667927122723,0.0006551325816196184,0.8367783552059531,0.0020101152005356105,0.7918630612751179,0.0016000511532222469,0.8666717072691694,0.0009398768410443382
