feature,importance
protective_behaviour_nomask_scale,0.11783498118067717
age,0.08836081731899842
week_number,0.08601731673470583
i2_health,0.06750237749092287
state_New South Wales,0.06670002050679563
r1_1,0.062226805468784674
r1_2,0.051834013316314854
cantril_ladder,0.05003300013676064
household_size,0.040143153378690184
gender_Male,0.016251698937596613
WCRex2_A lot of confidence,0.013939063599044038
state_Queensland,0.013308604712455754
employment_status_Part time employment,0.013280775655514089
WCRex1_Somewhat well,0.012827039952245243
i9_health_Yes,0.012456181503362092
i11_health_Very willing,0.012407203891240517
d1_comorbidities_Yes,0.012381528431728912
WCRex1_Very well,0.012118970479392796
state_South Australia,0.011276810773559852
PHQ4_3_Several days,0.010667852458162371
PHQ4_1_Several days,0.010571464264938478
employment_status_Retired,0.010311646432969104
PHQ4_4_Not at all,0.010230832469227062
i11_health_Somewhat willing,0.010121092019691916
PHQ4_1_Not at all,0.01008130519495181
PHQ4_2_Several days,0.009887093909940654
d1_comorbidities_No,0.009779983391218501
PHQ4_4_Several days,0.00969176921292039
employment_status_Unemployed,0.009680055284730595
PHQ4_2_Not at all,0.009425840749061163
employment_status_Not working,0.009241526600696659
PHQ4_3_Not at all,0.008868173018127264
state_Western Australia,0.00880277114999891
WCRex1_Somewhat badly,0.00864483736777075
WCRex2_Not very much confidence,0.00855438420067161
state_Tasmania,0.008158545529219156
i9_health_Not sure,0.007221940989560358
PHQ4_3_Nearly every day,0.006786514520267127
PHQ4_4_Nearly every day,0.006660024849246701
PHQ4_1_Nearly every day,0.006516009559526026
WCRex1_Very badly,0.0064117722051198235
PHQ4_2_Nearly every day,0.00552916931352191
WCRex2_No confidence at all,0.003945024305648079
state_Victoria,0.0031448024730734176
WCRex2_Don't know,0.003079074465285678
PHQ4_3_N/A,0.0027853306197140448
PHQ4_1_N/A,0.0027494684388001626
PHQ4_4_N/A,0.00273807440148185
PHQ4_2_N/A,0.0026253619103665544
i11_health_Somewhat unwilling,0.0024949319381155073
i11_health_Not sure,0.001981442807486073
state_Northern Territory,0.0019266739230053914
i11_health_Very unwilling,0.0019225112686974764
d1_comorbidities_Prefer_not_to_say,0.0019138265198434552
PHQ4_4_Prefer not to say,0.0016172450002411168
PHQ4_2_Prefer not to say,0.0014241941398772107
PHQ4_3_Prefer not to say,0.0013332428469238207
PHQ4_1_Prefer not to say,0.0011625179464377707
