model_number,model_type,precision,precision_std,recall,recall_std,roc_auc,roc_auc_std,accuracy,accuracy_std,f1,f1_std
model_2,logistic_reg,0.7522359817521135,0.0015588288544614245,0.8623831215535842,0.003001387169413342,0.7747961027683586,0.002175608374063731,0.7261289317969479,0.0022682671431768706,0.8035400136324666,0.0017595427320182178
model_2,binary_tree,0.7775204345996148,0.0021856471162470512,0.8402301606329419,0.003227724224285796,0.793440779829759,0.0015705292541421086,0.7400186857676736,0.0009564485001858392,0.8076176691941512,0.0007136385212198942
model_2,xgboost,0.8479437823758509,0.0013858776298253997,0.7514265164229201,0.0035685981629786194,0.8357193654095075,0.0021192331440421028,0.7510432886951106,0.0025712835451844975,0.796756900811237,0.0024244513360358
model_2,rf,0.778241089776514,0.001425758610195138,0.8858307360345241,0.0023119721820653756,0.8296297945205844,0.0019385164428800301,0.7618810339458113,0.0008113917941815979,0.8285394102400956,0.0006078171310027928
