model_number,model_type,precision,precision_std,recall,recall_std,roc_auc,roc_auc_std,accuracy,accuracy_std,f1,f1_std
model_1,logistic_reg,0.8013346465279755,0.0013148353112931899,0.8188098693759072,0.0023857771763573406,0.8718294929729765,0.0006952327467451374,0.7938959825599502,0.0011086188956106822,0.8099638261720067,0.001163039422568203
model_1,binary_tree,0.8344970866432538,0.002588360128607848,0.8404063860667634,0.0025457035380439465,0.8801751990222085,0.0015204954123524523,0.8249454998442853,0.0017740001862515565,0.8374170282486005,0.0015875315569367787
model_1,xgboost,0.8536013443933207,0.001301050070469602,0.8624092888243832,0.0016765781222866291,0.9186038291634023,0.0006225483261390867,0.8468389909685456,0.0009765188463290473,0.857974673290471,0.0009305608628333302
model_1,rf,0.8489203055450121,0.0015473011992207626,0.8539332365747461,0.001699340853547812,0.9116732881457406,0.0006959800050233772,0.8401121146060418,0.0012366534119793865,0.8514116818238247,0.0011494382341917448
