feature,median_importance,q1,q3,iqr
i2_health,0.11505441800359828,0.11370330907571226,0.1160951114788741,0.0023918024031618357
week_number,0.10982317058581936,0.10904270607261253,0.1108437492219419,0.0018010431493293705
r1_1,0.08224437600762535,0.08091083277083305,0.08280956835376468,0.0018987355829316321
age,0.07465638868888341,0.07436939839962428,0.07515461078489873,0.0007852123852744447
cantril_ladder,0.047713108926745754,0.04748528956747315,0.04788858467901956,0.00040329511154640896
r1_2,0.045142506253128434,0.04482871932615591,0.04532124437058288,0.0004925250444269696
household_size,0.03830682009717548,0.03810357084525468,0.03845116537630433,0.0003475945310496484
state_Western Australia,0.03819158755921397,0.03717463108441012,0.03906692996656329,0.0018922988821531705
i11_health_Very willing,0.034639688290497114,0.033658128524747144,0.03535075984329829,0.0016926313185511438
state_New South Wales,0.024953347384438756,0.024336587003717578,0.025896610583594395,0.0015600235798768174
state_Queensland,0.024675262135979217,0.024130857844192694,0.025476216247407413,0.00134535840321472
i9_health_Yes,0.02344317788154609,0.02294245493811316,0.023984826287045586,0.0010423713489324249
state_Victoria,0.022946222762208132,0.02237740115543396,0.02375866559284487,0.0013812644374109097
gender_Male,0.015620403717590086,0.015507339599867255,0.01574559988964843,0.0002382602897811753
employment_status_Part time employment,0.01322106044240185,0.013087033678283117,0.01329491965932374,0.0002078859810406234
WCRex1_Somewhat well,0.013000736817789885,0.012925566514268658,0.013081713910834875,0.0001561473965662162
i9_health_Not sure,0.01298312871960992,0.012524370240807192,0.013557586381409158,0.0010332161406019658
WCRex2_A lot of confidence,0.011300970798767428,0.011169202092058012,0.011456763748603922,0.00028756165654591007
WCRex2_Not very much confidence,0.010913024222804137,0.010793371842702555,0.011020111248491416,0.00022673940578886095
d1_comorbidities_Yes,0.010906096684827341,0.010813185354534955,0.010970980793698413,0.00015779543916345784
d1_comorbidities_No,0.010648907364262926,0.010553344300522863,0.010713300841531548,0.00015995654100868506
WCRex1_Somewhat badly,0.010501344905919554,0.01039234483997383,0.010633266896336787,0.00024092205636295702
WCRex1_Very well,0.010242001979749095,0.010141278661952465,0.01037538283928256,0.00023410417733009566
PHQ4_3_Several days,0.01018445045977392,0.010085454634989681,0.01026704890354984,0.0001815942685601587
i11_health_Somewhat willing,0.009986432155877946,0.009855135477079764,0.010086115200000774,0.00023097972292101046
PHQ4_1_Several days,0.009852351160826184,0.009742555532403446,0.009946864768761231,0.00020430923635778551
employment_status_Retired,0.009800715415545832,0.009708777006972348,0.00990128997920521,0.0001925129722328625
PHQ4_2_Several days,0.009403789854990307,0.009309341571061985,0.009485583814135773,0.0001762422430737886
PHQ4_1_Not at all,0.009338573317256963,0.009263705831513248,0.009496713670354215,0.00023300783884096753
WCRex1_Very badly,0.009321364950973183,0.009254579333276456,0.009405157132598374,0.00015057779932191838
PHQ4_4_Several days,0.009320042895529058,0.009228729298715332,0.00939329377106108,0.0001645644723457483
PHQ4_4_Not at all,0.00913885204395146,0.009068226277603309,0.009200277750536825,0.00013205147293351635
PHQ4_2_Not at all,0.008912083649625105,0.008850172028652117,0.009054785835807141,0.00020461380715502443
PHQ4_3_Not at all,0.008863473140639632,0.008805229292600747,0.008926726675582822,0.0001214973829820748
employment_status_Not working,0.008661141883974929,0.008567562214185429,0.008743150429279884,0.00017558821509445523
employment_status_Unemployed,0.008555730025782351,0.008459132687210507,0.00862926966555706,0.00017013697834655263
WCRex2_No confidence at all,0.00671907435605245,0.006619797717125627,0.006817040311786263,0.0001972425946606361
PHQ4_1_Nearly every day,0.006463951591509804,0.006350377281714247,0.006522925347457587,0.0001725480657433394
PHQ4_3_Nearly every day,0.005984640049646444,0.0058949571349322626,0.006041872109294556,0.0001469149743622937
state_South Australia,0.005860187479509595,0.005703430865141471,0.005958992917164825,0.0002555620520233535
PHQ4_4_Nearly every day,0.005790645474653796,0.0057138602283430895,0.005863252659945613,0.0001493924316025236
PHQ4_2_Nearly every day,0.005479037563798854,0.005414215501344456,0.005568551807093935,0.0001543363057494784
i11_health_Very unwilling,0.005066474115836442,0.0047837627939784555,0.0054356761454157874,0.000651913351437332
WCRex2_Don't know,0.004540993392939114,0.004441543895229071,0.004653494424727234,0.000211950529498163
PHQ4_2_N/A,0.003813185430118143,0.0037373111415904456,0.003865658594267512,0.00012834745267706641
PHQ4_3_N/A,0.003735918412585768,0.003632398038030592,0.0037899857766852635,0.00015758773865467155
PHQ4_4_N/A,0.0037187890818148025,0.0036504326598045447,0.0037899856653538276,0.00013955300554928298
PHQ4_1_N/A,0.0036705477115989153,0.0036028206389091344,0.003704105178606717,0.00010128453969758273
i11_health_Somewhat unwilling,0.0035754981651354815,0.0034735974367128054,0.0037045657874652882,0.00023096835075248285
d1_comorbidities_Prefer_not_to_say,0.0023560997418476336,0.0022732941147160773,0.002453329301739149,0.00018003518702307177
state_Tasmania,0.002265233323166716,0.0021397840915473466,0.002396847152817715,0.00025706306127036864
i11_health_Not sure,0.0022032777333678066,0.0021113899338317827,0.002289641138847513,0.00017825120501573045
PHQ4_4_Prefer not to say,0.0014503254975026048,0.0014003953691107728,0.0015112332905238785,0.00011083792141310567
PHQ4_3_Prefer not to say,0.001365325758176156,0.0013026231922258855,0.0014350834705377361,0.0001324602783118506
PHQ4_2_Prefer not to say,0.0013257953673336442,0.0012854099137096005,0.0013819941483343185,9.658423462471791e-05
PHQ4_1_Prefer not to say,0.00131002295143632,0.0012581302137299809,0.001353635975970061,9.550576224008015e-05
state_Northern Territory,0.0005848373079801788,0.0005330065480494394,0.0006236025650491991,9.059601699975964e-05
